time,value
2016-08-07 09:45:25,21.30681818181818
2016-08-07 15:30:41,21.30681818181818
2016-08-07 22:25:00,21.30681818181818
2016-08-08 05:19:18,21.30681818181818
2016-08-08 13:22:41,21.30681818181818
2016-08-08 19:07:56,21.30681818181818
2016-08-09 02:02:15,21.30681818181818
2016-08-09 05:29:25,21.30681818181818
2016-08-09 10:05:37,21.30681818181818
2016-08-09 13:32:47,21.30681818181818
2016-08-09 20:27:06,21.30681818181818
2016-08-10 01:03:18,21.30681818181818
2016-08-10 07:57:37,21.30681818181818
2016-08-10 12:33:50,21.30681818181818
2016-08-10 16:01:00,21.30681818181818
2016-08-10 19:28:09,21.30681818181818
2016-08-10 22:55:18,21.30681818181818
2016-08-11 02:22:28,21.30681818181818
2016-08-11 05:49:37,21.30681818181818
